dataset,comparator,delta_answer_f1,ci_low,ci_high,non_inferior_margin_-0.02
HotpotQA,Dense CE,-0.03418650793650793,-0.08332043650793651,0.01333819444444443,False
HotpotQA,Graph 1-hop CE,-0.0016428571428571447,-0.047004662698412705,0.04502569444444441,False
HotpotQA,Graph 2-hop CE,-0.015305555555555557,-0.05956011904761905,0.02916726190476189,False
2Wiki,Dense CE,0.021156713145663426,-0.043700670876085236,0.08629505393317546,False
2Wiki,Graph 1-hop CE,-0.03446022976409717,-0.0920446373761291,0.021468034727703235,False
2Wiki,Graph 2-hop CE,-0.048316232570376205,-0.10648305270542839,0.0095914452337104,False
