dataset,n,one_hop_gold_recall,two_hop_gold_recall,full_gold_reachable,gold_tokens,gold_fit_200
2Wiki,181,0.9640883977900553,0.9779005524861878,0.9558011049723757,84.7513812154696,0.994475138121547
HotpotQA,200,0.9514999999999999,0.9708333333333333,0.935,82.11,1.0
