dataset,question_type,n,sp_recall,sp_f1,em,f1,context_tokens
2Wiki,bridge_comparison,37,0.6364864864864865,0.4801269301269301,0.4864864864864865,0.5009652509652509,195.78378378378378
2Wiki,comparison,45,0.9555555555555556,0.45429632096298755,0.8666666666666667,0.8666666666666667,189.9777777777778
2Wiki,compositional,78,0.8461538461538461,0.382574476805246,0.28205128205128205,0.41869658119658115,193.87179487179486
2Wiki,inference,21,0.6666666666666666,0.34187796330653475,0.14285714285714285,0.545427059712774,194.52380952380952
HotpotQA,bridge,160,0.8265625,0.45588449744699744,0.55,0.7010317460317459,195.5125
HotpotQA,comparison,40,0.9075,0.508475690975691,0.725,0.7597222222222222,194.15
