dataset,group,n,sp_recall,sp_f1,em,f1,context_tokens
2Wiki,Semantic-blind,21,0.7285714285714286,0.4154657511800369,0.2857142857142857,0.40192743764172334,195.85714285714286
2Wiki,Semantic-sufficient,91,1.0,0.46258174060371865,0.5494505494505495,0.6794566544566545,191.7032967032967
2Wiki,Unrecoverable,69,0.5833333333333334,0.3537472189646102,0.37681159420289856,0.4547389003910743,194.81159420289856
HotpotQA,Semantic-blind,15,0.7444444444444446,0.4583353683353683,0.6,0.7022222222222221,197.66666666666666
HotpotQA,Semantic-sufficient,140,0.9384523809523809,0.506275272346701,0.6571428571428571,0.7945181405895692,194.77857142857144
HotpotQA,Unrecoverable,45,0.5777777777777778,0.3450439683773018,0.35555555555555557,0.46195767195767196,195.86666666666667
