dataset,method,budget_tokens,n,sp_recall,sp_prec,sp_f1,em,f1,context_tokens,num_selected,prompt_tokens,output_tokens,retrieval_latency_s,llm_latency_s,cost_usd_per_question
2Wiki,-ConditionalScoring,200,200,0.7652500000000001,0.271309163059163,0.3908917193917194,,,193.65,6.85,,,0.0024353579580201766,,
2Wiki,-DisagreementGate,200,200,0.80025,0.2905443722943723,0.4140960150960151,,,193.72,6.74,,,1.8787620803641039,,
2Wiki,-GraphScore,200,200,0.7977500000000001,0.2902665945165945,0.41321073371073375,,,193.555,6.73,,,1.8789285116485552,,
2Wiki,-PairPreservation,200,200,0.794,0.28575468975468976,0.40879118104118106,,,193.595,6.735,,,1.8787551258550956,,
2Wiki,-Router,200,200,0.8015000000000001,0.29050487012987014,0.41391733266733266,,,193.51,6.75,,,1.8785077310402993,,
2Wiki,Dense CE,100,181,0.5853591160220994,0.5509208103130755,0.5361527668157503,0.3812154696132597,0.44762360107663973,79.48618784530387,2.6685082872928176,168.91712707182322,3.9281767955801103,0.8121053121729306,1.0203890504157274,2.769447513812155e-05
2Wiki,Dense CE,150,181,0.7008287292817679,0.39695694115583624,0.4857031243771575,0.4198895027624309,0.5072087979546543,130.60773480662982,4.3646408839779,225.51933701657458,3.889502762430939,0.8119819519265673,0.9939849848073691,3.616160220994475e-05
2Wiki,Dense CE,200,181,0.7599447513812155,0.3017766456992976,0.41895688718893137,0.4088397790055249,0.5111025101356593,181.30939226519337,6.0497237569060776,282.3370165745856,3.9281767955801103,0.812003811236049,0.8698269887367465,4.470745856353591e-05
2Wiki,Dense CE,300,181,0.8331491712707183,0.2101476485454386,0.32852380620498917,0.43646408839779005,0.5498881873191266,280.88950276243094,9.475138121546962,394.49723756906076,3.883977900552486,0.8120443664805691,1.0500465391743388,6.15049723756906e-05
2Wiki,Dense CE,400,181,0.8825966850828729,0.17042425129847943,0.2803994317484827,0.430939226519337,0.5417990082354723,377.83977900552486,12.679558011049723,502.29834254143645,3.8950276243093924,0.8120725649278431,0.9966185785066568,7.768176795580109e-05
2Wiki,Dense CE,600,181,0.9475138121546961,0.1249867763401834,0.21720725592053183,0.430939226519337,0.5404345347715513,555.0441988950276,18.994475138121548,694.232044198895,3.883977900552486,0.8121439705381571,0.8443249804064251,0.00010646519337016574
2Wiki,Graph 1-hop CE,100,181,0.5922651933701658,0.5539594843462248,0.5387047268262738,0.39779005524861877,0.4592082717773326,78.91160220994475,2.701657458563536,168.3314917127072,3.911602209944751,0.11057895792195399,1.2933804044420882,2.759668508287293e-05
2Wiki,Graph 1-hop CE,150,181,0.711878453038674,0.3985420503376305,0.4898152798705284,0.425414364640884,0.5157854882993005,131.0939226519337,4.4088397790055245,225.78453038674033,3.883977900552486,0.11054174656155184,1.210335126621983,3.6198066298342536e-05
2Wiki,Graph 1-hop CE,200,181,0.7709944751381216,0.30575526376631346,0.4251554768129354,0.4419889502762431,0.5407350629726321,180.64088397790056,6.060773480662983,280.5966850828729,3.9281767955801103,0.11055464965827733,1.3648972622069366,4.4446408839778995e-05
2Wiki,Graph 1-hop CE,300,181,0.8425414364640884,0.23540371537609106,0.36019865015640123,0.4585635359116022,0.5610431465403841,263.414364640884,8.740331491712707,372.23756906077347,3.9005524861878453,0.11058776640398839,1.2850198225232063,5.8175966850828726e-05
2Wiki,Graph 1-hop CE,400,181,0.9005524861878453,0.21241432438215016,0.3369905850705673,0.44751381215469616,0.5543658766034456,326.0497237569061,10.657458563535911,439.30939226519337,3.850828729281768,0.11059957270597967,1.3057622893604717,6.820690607734807e-05
2Wiki,Graph 1-hop CE,600,181,0.9419889502762431,0.19116208084867747,0.31076076375979544,0.4972375690607735,0.596051477681312,401.3646408839779,13.022099447513812,519.353591160221,3.9337016574585637,0.11062478109324629,1.0729913395914399,8.026325966850828e-05
2Wiki,Graph 2-hop CE,100,181,0.588121546961326,0.552670349907919,0.5369157239322985,0.3812154696132597,0.4428704659367643,78.79005524861878,2.679558011049724,168.05524861878453,3.7679558011049723,0.0007825136105581418,1.1289762028410018,2.7469060773480663e-05
2Wiki,Graph 2-hop CE,150,181,0.7035911602209944,0.39809699201964394,0.48758460692162353,0.4198895027624309,0.5051040886676246,130.51933701657458,4.375690607734807,225.02209944751382,3.7900552486187844,0.0007909318195522161,1.249038376827732,3.6027348066298344e-05
2Wiki,Graph 2-hop CE,200,181,0.7530386740331493,0.3016293559111239,0.41819711902584833,0.44751381215469616,0.5504342649370274,180.3977900552486,6.005524861878453,279.9171270718232,3.8950276243093924,0.0008072891170982251,1.231811768441906,4.432458563535911e-05
2Wiki,Graph 2-hop CE,300,181,0.8397790055248618,0.22888978731520165,0.35169756217855014,0.44751381215469616,0.5603064982899236,268.7292817679558,8.988950276243093,377.353591160221,3.983425414364641,0.0008403200267695755,1.5253180819762953,5.899309392265194e-05
2Wiki,Graph 2-hop CE,400,181,0.8895027624309392,0.1984711838164022,0.31771776151597575,0.4696132596685083,0.5688532921958336,344.6795580110497,11.342541436464089,459.24309392265195,3.9226519337016574,0.0008605819553116244,1.5343037705009197,7.124005524861879e-05
2Wiki,Graph 2-hop CE,600,181,0.9488950276243094,0.17232057581944799,0.2848962043291902,0.4972375690607735,0.609907480487591,442.50828729281767,14.624309392265193,563.2817679558011,3.845303867403315,0.0008921407173434015,1.6468461141509945,8.679944751381216e-05
2Wiki,Graph-only,200,200,0.7290000000000001,0.3119586940836941,0.420529082029082,,,180.64,5.955,,,0.0019894392142305152,,
2Wiki,Ours v2,100,181,0.6638121546961326,0.44479742173112335,0.5126414101552222,0.4419889502762431,0.521619479354286,95.52486187845304,3.56353591160221,191.00552486187846,3.889502762430939,0.345025383224788,1.0191250538713303,3.0984530386740326e-05
2Wiki,Ours v2,150,181,0.7519337016574585,0.3494255897570815,0.4623205217127869,0.4419889502762431,0.5354402350258705,144.70165745856355,5.132596685082873,244.22651933701658,3.734806629834254,0.34491675416874645,1.1568476795717348,3.887486187845304e-05
2Wiki,Ours v2,200,181,0.8096685082872929,0.2901437420774437,0.41562584131644903,0.4530386740331492,0.5615912479172148,193.37016574585635,6.723756906077348,296.9502762430939,4.0,0.34496185180727257,1.1955286042593698,4.694254143646408e-05
2Wiki,Ours v2,300,181,0.8674033149171271,0.22309240789903773,0.34750355176907016,0.4696132596685083,0.58062571253179,281.22651933701655,9.552486187845304,391.34806629834253,3.9281767955801103,0.3450318040716647,1.1376263901790042,6.105911602209944e-05
2Wiki,Ours v2,400,181,0.914364640883978,0.19558738506000023,0.3155234545695179,0.4861878453038674,0.5923200035078489,352.4640883977901,11.850828729281767,467.878453038674,3.9502762430939224,0.34507008563136704,1.1024338883535618,7.255193370165746e-05
